Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2023,61,St. Cloud St. (NSIC),34,20,0,0.63,56,"1,538",472,0.307,303,162,121,2.80,"1,098",479,56
2023,63,Hillsdale (G-MAC),35,21,0,0.625,59,"1,561",478,0.306,366,191,148,2.83,"1,158",301,52
2023,64,Felician (CACC),31,19,0,0.62,49,"1,381",422,0.306,360.2,184,146,2.83,"1,080",433,54
2023,64,Minnesota St. (NSIC),31,19,0,0.62,49,"1,381",422,0.306,360.2,184,146,2.83,"1,080",433,54
2023,66,Albany St. (GA) (SIAC),26,16,0,0.619,47,"1,271",388,0.305,337,177,137,2.85,983,416,51
2023,67,Mercyhurst (PSAC),34,21,0,0.618,54,"1,425",435,0.305,291.2,144,119,2.86,"1,233",538,65
2023,68,Lander (Peach Belt),29,18,0,0.617,46,"1,202",366,0.304,357.1,179,146,2.86,"1,088",377,54
2023,68,Saint Martin's (Great Northwest),29,18,0,0.617,46,"1,202",366,0.304,357.1,179,146,2.86,"1,088",377,54
2023,70,Franklin Pierce (NE10),32,20,0,0.615,43,"1,151",350,0.304,357.1,180,148,2.90,957,446,52
2023,71,Cal St. San Marcos (CCAA),33,21,0,0.611,54,"1,543",469,0.304,317,166,132,2.91,"1,058",286,50
2023,71,Central Mo. (Mid-America Intercollegiate),33,21,0,0.611,54,"1,543",469,0.304,317,166,132,2.91,"1,058",286,50
2023,73,MSU Denver (RMAC),34,22,0,0.607,58,"1,621",492,0.304,342,192,144,2.95,830,379,45
2023,73,Mo.-St. Louis (GLVC),34,22,0,0.607,58,"1,621",492,0.304,342,192,144,2.95,830,379,45
2023,73,Ohio Dominican (G-MAC),34,22,0,0.607,58,"1,621",492,0.304,342,192,144,2.95,830,379,45
2023,76,Newberry (SAC),29,19,0,0.604,60,"1,692",513,0.303,271.2,163,117,3.01,"1,262",415,63
2023,77,King (TN) (Conference Carolinas),36,24,0,0.6,59,"1,577",478,0.303,363,202,157,3.03,"1,128",405,58
2023,77,Purdue Northwest (GLIAC),33,22,0,0.6,59,"1,577",478,0.303,363,202,157,3.03,"1,128",405,58
2023,77,Winston-Salem (CIAA),21,14,0,0.6,59,"1,577",478,0.303,363,202,157,3.03,"1,128",405,58
2023,80,Molloy (ECC),31,21,0,0.596,49,"1,303",394,0.302,309,205,137,3.10,"1,047",290,51
2023,81,Lincoln Memorial (SAC),36,25,0,0.59,46,"1,265",382,0.302,263,160,117,3.11,951,306,48
2023,82,Emporia St. (Mid-America Intercollegiate),33,23,0,0.589,57,"1,560",471,0.302,396.1,208,177,3.13,"1,114",448,60
2023,82,Fairmont St. (MEC),33,23,0,0.589,57,"1,560",471,0.302,396.1,208,177,3.13,"1,114",448,60
2023,84,Emmanuel (GA) (Conference Carolinas),30,21,0,0.588,63,"1,640",494,0.301,358.1,207,161,3.15,970,327,50
2023,84,Maryville (MO) (GLVC),30,21,0,0.588,63,"1,640",494,0.301,358.1,207,161,3.15,970,327,50
2023,84,Northeastern St. (Mid-America Intercollegiate),30,21,0,0.588,63,"1,640",494,0.301,358.1,207,161,3.15,970,327,50
2023,87,Ill. Springfield (GLVC),34,24,0,0.586,55,"1,462",439,0.3,360.1,211,164,3.19,"1,080",331,55
2023,87,Northwood (G-MAC),34,24,0,0.586,55,"1,462",439,0.3,360.1,211,164,3.19,"1,080",331,55
2023,89,CSUSB (CCAA),31,22,0,0.585,53,"1,455",436,0.3,310,162,143,3.23,"1,072",437,59
2023,89,Frostburg St. (MEC),31,22,0,0.585,53,"1,455",436,0.3,310,162,143,3.23,"1,072",437,59
2023,91,Anderson (SC) (SAC),28,20,0,0.583,54,"1,414",423,0.299,282.2,157,131,3.24,"1,081",423,59
2023,92,Colorado Mesa (RMAC),32,23,0,0.582,50,"1,284",384,0.299,338.2,211,157,3.25,"1,011",339,53
2023,92,Goldey-Beacom (CACC),32,23,0,0.582,50,"1,284",384,0.299,338.2,211,157,3.25,"1,011",339,53
2023,94,Catawba (SAC),26,19,0,0.578,46,"1,249",373,0.299,341.2,211,159,3.26,893,339,49
2023,95,Assumption (NE10),24,18,0,0.571,43,"1,189",355,0.299,377,221,176,3.27,963,343,52
2023,96,Regis (CO) (RMAC),33,25,0,0.569,34,898,268,0.298,340,211,159,3.27,"1,171",449,65
2023,97,Azusa Pacific (PacWest),34,26,0,0.567,51,"1,317",393,0.298,374.2,235,176,3.29,"1,209",385,64
2023,98,Bridgeport (CACC),30,23,0,0.566,58,"1,539",459,0.298,306,198,144,3.29,"1,098",520,65
2023,98,Minot St. (NSIC),30,23,0,0.566,58,"1,539",459,0.298,306,198,144,3.29,"1,098",520,65
2023,100,Fort Hays St. (Mid-America Intercollegiate),31,24,0,0.564,49,"1,250",372,0.298,387.1,229,184,3.33,952,286,50
2023,101,Pittsburg St. (Mid-America Intercollegiate),27,21,0,0.563,35,919,273,0.297,352.2,201,168,3.33,947,462,57
2023,102,Embry-Riddle (FL) (Sunshine State),28,22,0,0.56,55,"1,457",432,0.296,329.1,187,157,3.34,"1,130",476,65
2023,102,Florida Tech (Sunshine State),28,22,0,0.56,55,"1,457",432,0.296,329.1,187,157,3.34,"1,130",476,65
2023,102,Shepherd (PSAC),28,22,0,0.56,55,"1,457",432,0.296,329.1,187,157,3.34,"1,130",476,65
2023,105,Cameron (Lone Star),31,25,0,0.554,50,"1,322",391,0.296,346.2,203,166,3.35,"1,093",390,61
2023,106,Barton (Conference Carolinas),27,22,0,0.551,52,"1,414",418,0.296,356.1,204,171,3.36,889,369,52
2023,107,Southeastern Okla. (GAC),33,27,0,0.55,51,"1,418",419,0.295,301.2,179,145,3.36,868,293,48
2023,108,Biola (PacWest),29,24,0,0.547,40,"1,043",308,0.295,321,186,155,3.38,"1,067",373,60
2023,108,Slippery Rock (PSAC),29,24,0,0.547,40,"1,043",308,0.295,321,186,155,3.38,"1,067",373,60
2023,110,St. Mary's (TX) (Lone Star),32,27,0,0.542,49,"1,247",367,0.294,323.1,191,157,3.40,"1,104",378,62
2023,111,San Fran. St. (CCAA),27,23,0,0.54,38,"1,025",301,0.294,383,240,186,3.40,935,306,52
2023,112,Arkansas Tech (GAC),28,24,0,0.538,56,"1,445",424,0.293,376,233,183,3.41,"1,162",435,67
2023,112,Northwest Mo. St. (Mid-America Intercollegiate),28,24,0,0.538,56,"1,445",424,0.293,376,233,183,3.41,"1,162",435,67
2023,114,Angelo St. (Lone Star),29,25,0,0.537,54,"1,464",429,0.293,336,217,165,3.44,"1,021",382,59
2023,115,Kutztown (PSAC),30,26,0,0.536,48,"1,331",390,0.293,317.1,195,157,3.46,988,367,57
2023,116,Mount Olive (Conference Carolinas),23,20,0,0.535,52,"1,386",406,0.293,309,207,153,3.47,824,292,47
2023,117,Notre Dame (OH) (MEC),31,27,0,0.534,52,"1,499",438,0.292,342,248,170,3.48,961,342,55
2023,118,Indiana (PA) (PSAC),26,23,0,0.531,51,"1,403",409,0.292,392.1,251,196,3.50,"1,038",450,63
2023,118,Western Wash. (Great Northwest),26,23,0,0.531,51,"1,403",409,0.292,392.1,251,196,3.50,"1,038",450,63
2023,120,California (PA) (PSAC),27,24,0,0.529,42,"1,028",299,0.291,341.2,219,172,3.52,"1,029",381,60
2023,121,Cal St. Monterey Bay (CCAA),28,25,0,0.528,27,704,204,0.29,325,229,164,3.53,946,290,53
2023,122,Georgia College (Peach Belt),26,24,0,0.52,55,"1,484",430,0.29,277,206,140,3.54,981,347,57
2023,122,North Greenville (Conference Carolinas),26,24,0,0.52,55,"1,484",430,0.29,277,206,140,3.54,981,347,57
2023,124,Pace (NE10),27,25,0,0.519,53,"1,432",413,0.288,364.1,231,186,3.57,975,319,56
2023,125,Concordia-St. Paul (NSIC),30,28,0,0.517,58,"1,602",462,0.288,318.2,213,163,3.58,"1,063",458,66
2023,126,Ark.-Monticello (GAC),24,23,0,0.511,56,"1,550",447,0.288,224.2,191,115,3.58,"1,106",497,70
2023,126,Tuskegee (SIAC),24,23,0,0.511,56,"1,550",447,0.288,224.2,191,115,3.58,"1,106",497,70
2023,128,Chadron St. (RMAC),27,26,0,0.509,51,"1,258",359,0.285,350.1,219,180,3.60,"1,062",298,60
2023,128,Chadron St. (RMAC),27,26,0,0.509,51,"1,258",359,0.285,350.1,219,180,3.60,854,370,54
2023,130,Chico St. (CCAA),26,26,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Fla. Southern (Sunshine State),25,25,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Limestone (SAC),24,24,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Lock Haven (PSAC),24,24,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Coker (SAC),23,23,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Le Moyne (NE10),23,23,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Spring Hill (SIAC),23,23,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Quincy (GLVC),22,22,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,130,Erskine (Conference Carolinas),20,20,0,0.5,53,"1,435",409,0.285,313.2,187,162,3.62,885,267,51
2023,139,St. Edward's (Lone Star),27,28,0,0.491,53,"1,396",395,0.283,240.1,159,126,3.67,"1,121",440,71
2023,140,Cal Poly Humboldt (CCAA),26,27,0,0.491,54,"1,415",400,0.283,348.2,214,183,3.67,956,341,59
2023,140,Drury (GLVC),26,27,0,0.491,54,"1,415",400,0.283,348.2,214,183,3.67,956,341,59
2023,142,Colo. Sch. of Mines (RMAC),25,26,0,0.49,39,"1,025",289,0.282,327.1,218,173,3.70,"1,149",365,69
2023,143,Tusculum (SAC),24,25,0,0.49,47,"1,238",349,0.282,371.1,243,197,3.71,"1,096",525,74
2023,144,West Florida (Gulf South),22,23,0,0.489,49,"1,325",373,0.282,330.2,227,176,3.73,622,295,42
2023,145,Sioux Falls (NSIC),24,26,0,0.48,47,"1,207",338,0.28,375,242,200,3.73,968,472,66
2023,145,Tex. A&M-Kingsville (Lone Star),24,26,0,0.48,47,"1,207",338,0.28,375,242,200,3.73,968,472,66
2023,145,Tiffin (G-MAC),24,26,0,0.48,47,"1,207",338,0.28,375,242,200,3.73,968,472,66
2023,145,Union (TN) (Gulf South),24,26,0,0.48,47,"1,207",338,0.28,375,242,200,3.73,968,472,66
2023,149,Chaminade (PacWest),22,24,0,0.478,52,"1,408",393,0.279,260.1,200,140,3.76,992,331,61
2023,150,Southern N.H. (NE10),20,22,0,0.476,50,"1,328",370,0.279,354.2,233,191,3.77,"1,037",388,66
2023,150,Walsh (G-MAC),20,22,0,0.476,50,"1,328",370,0.279,354.2,233,191,3.77,"1,037",388,66
2023,152,Clark Atlanta (SIAC),19,21,0,0.475,53,"1,345",374,0.278,259.2,199,142,3.83,"1,007",435,67
2023,152,Miles (SIAC),19,21,0,0.475,53,"1,345",374,0.278,259.2,199,142,3.83,"1,007",435,67
2023,154,Southern Nazarene (GAC),25,28,0,0.472,50,"1,330",369,0.277,346,245,191,3.86,991,341,62
2023,154,Texas Woman's (Lone Star),25,28,0,0.472,50,"1,330",369,0.277,346,245,191,3.86,991,341,62
2023,156,Bemidji St. (NSIC),24,27,0,0.471,46,"1,239",343,0.277,308.2,207,171,3.88,"1,000",456,68
2023,157,Fort Lewis (RMAC),23,26,0,0.469,45,"1,196",331,0.277,284.2,192,158,3.89,985,445,67
2023,158,Eastern N.M. (Lone Star),26,30,0,0.464,54,"1,406",389,0.277,328.1,233,186,3.97,"1,109",617,81
2023,159,Millersville (PSAC),25,29,0,0.463,56,"1,570",434,0.276,360,260,204,3.97,900,312,57
2023,160,Cedarville (G-MAC),22,26,0,0.458,56,"1,379",381,0.276,374,270,213,3.99,"1,111",477,75
2023,161,Montevallo (Gulf South),20,24,0,0.455,53,"1,435",395,0.275,277.1,211,158,3.99,789,205,47
2023,162,Glenville St. (MEC),23,28,0,0.451,54,"1,388",382,0.275,318.1,218,182,4.00,856,307,55
2023,163,Dominican (CA) (PacWest),21,26,0,0.447,57,"1,564",429,0.274,215,168,123,4.00,"1,012",416,68
2023,163,Eckerd (Sunshine State),21,26,0,0.447,57,"1,564",429,0.274,215,168,123,4.00,"1,012",416,68
2023,163,Rockhurst (GLVC),21,26,0,0.447,57,"1,564",429,0.274,215,168,123,4.00,"1,012",416,68
2023,166,Barry (Sunshine State),24,30,0,0.444,56,"1,511",414,0.274,343,233,198,4.04,"1,158",442,77
2023,167,Fayetteville St. (CIAA),15,19,0,0.441,53,"1,395",380,0.272,354.2,240,206,4.07,"1,144",430,76
2023,168,Central Wash. (Great Northwest),21,27,0,0.438,41,"1,072",292,0.272,315.1,231,184,4.08,"1,080",431,73
2023,168,East Central (GAC),21,27,0,0.438,41,"1,072",292,0.272,315.1,231,184,4.08,"1,080",431,73
2023,170,Cal St. East Bay (CCAA),24,31,0,0.436,56,"1,504",408,0.271,386.1,258,229,4.15,927,362,63
2023,171,Benedict (SIAC),20,26,0,0.435,51,"1,279",346,0.271,282.2,212,169,4.19,"1,002",422,70
2023,172,Bloomsburg (PSAC),25,33,0,0.431,50,"1,299",351,0.27,335,276,201,4.20,985,418,69
2023,173,Elizabeth City St. (CIAA),12,16,0,0.429,46,"1,225",330,0.269,269.1,197,163,4.24,"1,034",340,68
2023,174,Western Ore. (Great Northwest),22,30,0,0.423,62,"1,667",449,0.269,301.2,210,183,4.25,"1,017",415,71
2023,175,Jefferson (CACC),16,22,0,0.421,44,"1,124",302,0.269,314.2,244,191,4.25,942,368,65
2023,176,Ashland (G-MAC),21,29,0,0.42,58,"1,521",408,0.268,323.1,228,197,4.26,961,286,62
2023,177,Belmont Abbey (Conference Carolinas),18,25,0,0.419,48,"1,273",341,0.268,305.2,254,188,4.31,959,447,70
2023,177,Mars Hill (SAC),18,25,0,0.419,48,"1,273",341,0.268,305.2,254,188,4.31,959,447,70
2023,179,Missouri S&T (GLVC),20,28,0,0.417,55,"1,455",389,0.267,297.2,222,184,4.33,995,344,67
2023,180,CSU Pueblo (RMAC),21,30,0,0.412,56,"1,468",392,0.267,366.2,256,227,4.33,927,426,68
2023,180,Salem (WV) (DII Independent),21,30,0,0.412,56,"1,468",392,0.267,366.2,256,227,4.33,927,426,68
2023,182,Ferris St. (GLIAC),23,33,0,0.411,48,"1,223",326,0.267,381.1,291,238,4.37,"1,177",523,86
2023,183,Fort Valley St. (SIAC),16,23,0,0.41,40,"1,081",288,0.266,330.1,257,207,4.39,"1,106",593,86
2023,184,Hawaii Pacific (PacWest),22,32,0,0.407,50,"1,311",349,0.266,368.2,268,232,4.41,836,300,58
2023,185,Gannon (PSAC),19,28,0,0.404,45,"1,268",337,0.266,341.1,307,215,4.41,719,234,49
2023,186,Lynn (Sunshine State),21,31,0,0.404,53,"1,387",367,0.265,287,215,182,4.44,983,316,67
2023,187,Virginia St. (CIAA),12,18,0,0.4,54,"1,414",373,0.264,268.2,227,171,4.46,"1,016",340,70
2023,188,Upper Iowa (NSIC),17,26,0,0.395,53,"1,379",363,0.263,311.1,231,199,4.47,645,264,47
2023,189,N.M. Highlands (RMAC),20,31,0,0.392,51,"1,334",351,0.263,344.2,276,221,4.49,971,361,69
2023,189,UNC Pembroke (Conference Carolinas),20,31,0,0.392,51,"1,334",351,0.263,344.2,276,221,4.49,971,361,69
2023,191,Mont. St. Billings (Great Northwest),18,28,0,0.391,56,"1,399",365,0.261,254.2,201,166,4.56,953,278,65
2023,192,Hawaii Hilo (PacWest),16,25,0,0.39,51,"1,348",351,0.26,305.1,251,200,4.59,915,288,64
2023,193,Henderson St. (GAC),19,30,0,0.388,50,"1,307",340,0.26,308.1,256,202,4.59,822,244,57
2023,194,Young Harris (Peach Belt),19,31,0,0.38,48,"1,242",323,0.26,287.1,238,192,4.68,944,414,73
2023,195,Augusta (Peach Belt),17,28,0,0.378,56,"1,512",393,0.26,321.1,288,215,4.68,798,318,60
2023,196,Concord (MEC),20,33,0,0.377,51,"1,301",338,0.26,300.1,253,203,4.73,982,411,75
2023,196,USC Aiken (Peach Belt),20,33,0,0.377,51,"1,301",338,0.26,300.1,253,203,4.73,982,411,75
2023,198,Johnson C. Smith (CIAA),9,15,0,0.375,60,"1,637",424,0.259,309,260,210,4.76,883,305,64
2023,199,Wis.-Parkside (GLIAC),19,32,0,0.373,48,"1,278",331,0.259,316,290,215,4.76,949,345,70
2023,200,Clarion (PSAC),17,29,0,0.37,55,"1,409",364,0.258,323.2,273,224,4.84,828,328,63
2023,201,New Haven (NE10),17,30,0,0.362,60,"1,546",399,0.258,255,210,177,4.86,749,362,61
2023,202,Minn.-Crookston (NSIC),18,32,0,0.36,52,"1,350",348,0.258,293.2,259,204,4.86,881,334,67
2023,203,Tex. A&M Int'l (Lone Star),19,34,0,0.358,46,"1,139",293,0.257,303.1,251,212,4.89,815,376,66
2023,204,Edinboro (PSAC),15,27,0,0.357,58,"1,493",384,0.257,287,264,202,4.93,918,387,74
2023,204,Malone (G-MAC),15,27,0,0.357,58,"1,493",384,0.257,287,264,202,4.93,918,387,74
2023,204,Palm Beach Atl. (Sunshine State),15,27,0,0.357,58,"1,493",384,0.257,287,264,202,4.93,918,387,74
2023,207,Chowan (Conference Carolinas),16,29,0,0.356,51,"1,312",336,0.256,294.1,281,210,4.99,"1,025",322,77
2023,207,West Virginia St. (MEC),16,29,0,0.356,51,"1,312",336,0.256,294.1,281,210,4.99,"1,025",322,77
2023,209,Holy Family (CACC),17,31,0,0.354,53,"1,330",340,0.256,316.1,283,231,5.11,866,305,67
2023,210,Flagler (Peach Belt),18,33,0,0.353,52,"1,327",339,0.255,207.1,196,155,5.23,930,328,72
2023,211,Alderson Broaddus (MEC),19,35,0,0.352,47,"1,226",313,0.255,335.2,311,251,5.23,831,319,66
2023,212,Lincoln (PA) (CIAA),13,24,0,0.351,42,"1,086",277,0.255,244.2,238,185,5.29,"1,023",439,84
2023,213,Wayne St. (MI) (GLIAC),16,30,0,0.348,49,"1,259",321,0.255,317.2,324,241,5.31,778,335,64
2023,214,Southwest Minn. St. (NSIC),17,32,0,0.347,45,"1,103",281,0.255,314,306,240,5.35,806,376,68
2023,215,Delta St. (Gulf South),18,34,0,0.346,48,"1,194",304,0.255,320.1,316,246,5.38,979,342,76
2023,216,Kentucky St. (SIAC),14,27,0,0.341,49,"1,285",327,0.254,319.2,299,246,5.39,902,364,73
2023,217,Pitt.-Johnstown (PSAC),15,29,0,0.341,52,"1,412",359,0.254,169.2,156,131,5.40,946,423,79
2023,218,Southern Conn. St. (NE10),14,28,0,0.333,28,602,153,0.254,278,271,215,5.41,834,309,66
2023,219,Mercy (ECC),15,31,0,0.326,54,"1,389",353,0.254,295,267,229,5.43,974,422,81
2023,220,Saint Michael's (NE10),13,27,0,0.325,51,"1,333",338,0.254,339,321,264,5.45,826,293,65
2023,221,Bloomfield (CACC),16,34,0,0.32,45,"1,074",272,0.253,285.2,257,224,5.49,961,425,82
2023,221,Neb.-Kearney (Mid-America Intercollegiate),16,34,0,0.32,45,"1,074",272,0.253,285.2,257,224,5.49,961,425,82
2023,221,Post (CACC),16,34,0,0.32,45,"1,074",272,0.253,285.2,257,224,5.49,961,425,82
2023,224,Truman St. (GLVC),17,37,0,0.315,42,"1,124",284,0.253,317.1,351,255,5.63,890,335,73
2023,225,Converse (Conference Carolinas),15,33,0,0.313,47,"1,234",310,0.251,294.1,307,238,5.66,973,284,75
2023,226,Lee (Gulf South),15,34,0,0.306,53,"1,402",352,0.251,264,289,214,5.67,815,291,66
2023,227,Newman (Mid-America Intercollegiate),17,39,0,0.304,50,"1,192",299,0.251,314.2,322,256,5.69,803,329,68
2023,228,Northern St. (NSIC),14,34,0,0.292,48,"1,262",316,0.25,331.2,341,271,5.72,965,397,82
2023,229,Davenport (GLIAC),13,32,0,0.289,59,"1,488",372,0.25,240.1,244,197,5.74,805,240,63
2023,229,Stanislaus St. (CCAA),13,32,0,0.289,59,"1,488",372,0.25,240.1,244,197,5.74,805,240,63
2023,231,Saint Rose (NE10),12,31,0,0.279,44,"1,099",274,0.249,322.2,306,266,5.77,"1,033",421,91
