Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2023,1,UT Tyler (Lone Star),62,6,0,0.912,50,"1,300",490,0.377,427.1,85,68,1.11,"1,339",441,39
2023,2,Colo. Christian (RMAC),57,6,0,0.905,55,"1,522",568,0.373,375,88,60,1.12,"1,110",394,33
2023,3,North Georgia (Peach Belt),64,7,0,0.901,55,"1,467",536,0.365,387,92,66,1.19,"1,262",490,39
2023,4,Tampa (Sunshine State),44,5,0,0.898,28,693,251,0.362,332.2,78,62,1.30,930,383,30
2023,5,West Tex. A&M (Lone Star),50,8,0,0.862,54,"1,488",530,0.356,386.1,108,83,1.50,"1,181",463,40
2023,6,Central Okla. (Mid-America Intercollegiate),54,9,0,0.857,71,"1,946",693,0.356,414,114,89,1.50,"1,091",303,34
2023,6,Grand Valley St. (GLIAC),48,8,0,0.857,71,"1,946",693,0.356,414,114,89,1.50,"1,091",303,34
2023,8,Adelphi (NE10),47,8,0,0.855,52,"1,418",495,0.349,446.1,119,100,1.57,"1,100",333,36
2023,9,UIndy (GLVC),53,10,0,0.841,42,"1,183",405,0.342,368.1,132,90,1.71,"1,146",424,40
2023,10,Alabama Huntsville (Gulf South),46,11,0,0.807,49,"1,315",445,0.338,420.2,140,106,1.76,988,378,35
2023,11,Charleston (WV) (MEC),45,12,0,0.789,56,"1,533",518,0.338,394.2,124,102,1.81,998,366,35
2023,12,CUI (PacWest),48,13,0,0.787,55,"1,525",515,0.338,328,109,85,1.81,"1,121",348,38
2023,13,Okla. Baptist (GAC),44,12,0,0.786,53,"1,492",502,0.336,382.2,129,100,1.83,"1,389",499,49
2023,14,Mississippi Col. (Gulf South),43,12,0,0.782,46,"1,213",408,0.336,369.2,154,98,1.86,848,299,30
2023,14,Saint Leo (Sunshine State),43,12,0,0.782,46,"1,213",408,0.336,369.2,154,98,1.86,848,299,30
2023,16,Harding (GAC),46,14,0,0.767,44,"1,151",384,0.334,384.1,131,104,1.89,"1,031",403,40
2023,17,Francis Marion (Conference Carolinas),42,13,0,0.764,49,"1,285",427,0.332,396,136,109,1.93,"1,282",471,49
2023,18,Rogers St. (Mid-America Intercollegiate),45,14,0,0.763,63,"1,758",582,0.331,344.2,121,96,1.95,"1,123",253,39
2023,19,Minn. Duluth (NSIC),40,13,0,0.755,55,"1,499",496,0.331,379,140,106,1.96,"1,069",411,42
2023,20,Southern Ark. (GAC),45,15,0,0.75,45,"1,231",407,0.331,338.2,136,95,1.96,"1,037",332,39
2023,21,West Ala. (Gulf South),41,14,0,0.745,57,"1,540",509,0.331,463.1,155,130,1.96,"1,242",513,50
2023,22,Columbus St. (Peach Belt),46,16,0,0.742,46,"1,218",401,0.329,382.1,156,108,1.98,"1,082",420,43
2023,23,Wingate (SAC),48,17,0,0.738,54,"1,562",513,0.328,321,127,92,2.01,"1,153",406,46
2023,24,Wilmington (DE) (CACC),44,16,0,0.733,51,"1,377",449,0.326,425.2,143,122,2.01,"1,068",369,43
2023,25,Mo. Southern St. (Mid-America Intercollegiate),41,15,0,0.732,63,"1,690",551,0.326,382,135,111,2.03,955,476,43
2023,26,Lenoir-Rhyne (SAC),38,14,0,0.731,50,"1,399",456,0.326,356.2,139,107,2.10,"1,249",375,49
2023,27,Nova Southeastern (Sunshine State),43,16,0,0.729,40,"1,005",327,0.325,403,164,122,2.12,"1,034",388,43
2023,28,Claflin (CIAA),32,12,0,0.727,60,"1,623",527,0.325,381.1,156,116,2.13,857,330,36
2023,29,West Va. Wesleyan (MEC),45,17,0,0.726,48,"1,322",426,0.322,384.2,153,124,2.26,"1,277",429,52
2023,30,Augustana (SD) (NSIC),39,15,0,0.722,60,"1,659",534,0.322,386,187,125,2.27,"1,302",433,53
2023,31,Winona St. (NSIC),38,16,0,0.704,50,"1,406",452,0.321,355.2,150,118,2.32,808,365,36
2023,32,Lubbock Christian (Lone Star),40,17,0,0.702,62,"1,607",514,0.32,366,158,122,2.33,"1,159",437,49
2023,33,Lane (SIAC),35,15,0,0.7,57,"1,512",483,0.319,363.2,137,122,2.35,930,305,38
2023,33,Sonoma St. (CCAA),35,15,0,0.7,57,"1,512",483,0.319,363.2,137,122,2.35,930,305,38
2023,35,East Stroudsburg (PSAC),44,19,0,0.698,53,"1,436",458,0.319,411,182,140,2.38,"1,125",459,49
2023,36,Saginaw Valley (GLIAC),37,16,0,0.698,45,"1,217",388,0.319,274.2,133,94,2.40,"1,046",303,42
2023,36,Washburn (Mid-America Intercollegiate),37,16,0,0.698,45,"1,217",388,0.319,274.2,133,94,2.40,"1,046",303,42
2023,38,Ga. Southwestern (Peach Belt),39,17,0,0.696,24,625,199,0.318,370.1,175,127,2.40,"1,227",374,51
2023,38,Northwest Nazarene (Great Northwest),39,17,0,0.696,24,625,199,0.318,370.1,175,127,2.40,"1,227",374,51
2023,40,Okla. Christian (Lone Star),38,17,0,0.691,56,"1,535",485,0.316,420.2,165,145,2.41,"1,188",396,51
2023,41,Bowie St. (CIAA),35,16,0,0.686,56,"1,517",479,0.316,301.2,158,105,2.44,939,324,41
2023,42,Trevecca Nazarene (G-MAC),34,16,0,0.68,56,"1,493",470,0.315,344.1,178,124,2.52,"1,060",445,49
2023,42,Valdosta St. (Gulf South),34,16,0,0.68,56,"1,493",470,0.315,344.1,178,124,2.52,"1,060",445,49
2023,44,Findlay (G-MAC),33,16,0,0.673,48,"1,339",421,0.314,326.2,137,119,2.55,"1,148",321,48
2023,45,AUM (Gulf South),37,19,0,0.661,47,"1,140",357,0.313,312.2,155,116,2.60,"1,211",427,54
2023,45,West Chester (PSAC),37,19,0,0.661,47,"1,140",357,0.313,312.2,155,116,2.60,"1,211",427,54
2023,47,Lewis (GLVC),38,20,0,0.655,50,"1,343",419,0.312,313,153,117,2.62,905,336,41
2023,48,Cal St. Dom. Hills (CCAA),36,19,0,0.655,60,"1,610",502,0.312,320.1,163,120,2.62,"1,041",316,45
2023,49,Rollins (Sunshine State),32,17,0,0.653,57,"1,509",470,0.311,360.1,177,135,2.62,"1,154",290,48
2023,50,MSU Moorhead (NSIC),30,16,0,0.652,49,"1,282",399,0.311,353.1,167,133,2.63,"1,006",401,47
2023,51,Georgian Court (CACC),39,21,0,0.65,68,"1,723",536,0.311,391.1,187,148,2.65,"1,163",363,51
2023,52,Missouri Western (Mid-America Intercollegiate),37,20,0,0.649,43,"1,125",349,0.31,364.1,173,142,2.73,963,431,47
2023,53,Bentley (NE10),30,16,1,0.649,48,"1,311",406,0.31,289.1,150,113,2.73,937,270,41
2023,54,Caldwell (CACC),35,19,0,0.648,65,"1,697",525,0.309,347.2,158,136,2.74,"1,043",329,47
2023,55,McKendree (GLVC),29,16,0,0.644,63,"1,692",522,0.309,403.2,195,159,2.76,875,261,39
2023,56,Lees-McRae (Conference Carolinas),32,18,0,0.64,42,"1,133",349,0.308,360,195,142,2.76,"1,089",354,50
2023,56,St. Thomas Aquinas (ECC),32,18,0,0.64,42,"1,133",349,0.308,360,195,142,2.76,"1,089",354,50
2023,58,Carson-Newman (SAC),31,18,0,0.633,40,949,292,0.308,349,168,138,2.77,"1,237",341,55
2023,59,St. Anselm (NE10),26,15,1,0.631,54,"1,370",421,0.307,374.1,167,149,2.79,970,347,46
2023,60,Seton Hill (PSAC),29,17,0,0.63,30,726,223,0.307,328.1,179,131,2.79,984,380,48
2023,61,Shippensburg (PSAC),34,20,0,0.63,56,"1,538",472,0.307,303,162,121,2.80,"1,098",479,56
