Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2024,256,New Haven (NE10),7,35,0,0.167,52,1246,293,0.235,311.2,409,338,7.59,607,191,61
2024,256,Pitt.-Johnstown (PSAC),7,35,0,0.167,52,1246,293,0.235,311.2,409,338,7.59,607,191,61
2024,259,Chowan (Conference Carolinas),6,33,0,0.154,50,1242,287,0.231,288.2,368,314,7.61,697,256,76
2024,259,Johnson C. Smith (CIAA),4,22,0,0.154,50,1242,287,0.231,288.2,368,314,7.61,697,256,76
2024,261,Post (CACC),7,39,0,0.152,32,778,176,0.226,239.2,334,273,7.97,796,336,96
2024,262,UT Permian Basin (Lone Star),7,44,0,0.137,29,587,130,0.221,325.1,422,372,8,551,237,68
2024,263,Ursuline (G-MAC),5,35,0,0.125,51,1297,286,0.221,259.1,358,299,8.07,777,368,105
2024,264,Adams St. (RMAC),5,48,0,0.094,40,1016,224,0.22,250.2,386,307,8.57,450,184,59
2024,265,Chestnut Hill (CACC),3,29,0,0.094,51,1206,265,0.22,117,166,150,8.97,520,226,70
2024,266,LeMoyne-Owen (SIAC),3,30,0,0.091,41,1069,234,0.219,272.1,461,370,9.51,914,489,134
2024,267,Lake Erie (G-MAC),3,37,0,0.075,42,1062,222,0.209,184,317,257,9.78,544,153,72
2024,268,Shorter (Gulf South),2,45,0,0.043,31,690,138,0.2,305,565,430,9.87,744,262,111
