Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
152,Mars Hill (SAC),22,24,0,0.478,52,1415,399,0.282,357,251,219,4.29,1114,460,74
154,Staten Island (ECC),19,21,0,0.475,53,1410,397,0.282,312.2,236,193,4.32,956,444,66
155,St. Mary's (TX) (Lone Star),26,29,0,0.473,48,1260,354,0.281,335,250,207,4.33,751,307,50
156,Salem (WV) (DII Independent),25,28,0,0.472,56,1510,424,0.281,311.1,237,193,4.34,1003,287,61
157,Adelphi (NE10),24,27,0,0.471,54,1467,411,0.28,331,255,206,4.36,947,354,62
157,Mount Olive (Conference Carolinas),24,27,0,0.471,54,1467,411,0.28,331,255,206,4.36,947,354,62
159,Southwestern Okla. (GAC),22,25,0,0.468,49,1245,348,0.28,375.2,280,235,4.38,1042,324,66
160,Holy Family (CACC),19,22,0,0.463,52,1417,396,0.279,343,282,215,4.39,1002,522,74
161,Concordia-St. Paul (NSIC),25,29,0,0.463,44,1188,332,0.279,304,242,191,4.4,810,343,56
162,Neb.-Kearney (Mid-America Intercollegiate),23,27,0,0.46,57,1452,405,0.279,262.1,227,166,4.43,1151,446,78
163,Belmont Abbey (Conference Carolinas),21,25,0,0.457,44,1132,315,0.278,321.2,246,204,4.44,1258,414,82
163,Thomas More (G-MAC),21,25,0,0.457,44,1132,315,0.278,321.2,246,204,4.44,1258,414,82
165,Concord (MEC),23,28,0,0.451,32,817,226,0.277,347.1,279,221,4.45,1076,383,72
166,Benedict (SIAC),18,22,0,0.45,45,1267,350,0.276,293.2,243,187,4.46,1016,410,71
167,Northwest Mo. St. (Mid-America Intercollegiate),22,27,0,0.449,51,1324,365,0.276,326,246,209,4.49,828,314,57
168,UVA Wise (SAC),21,26,0,0.447,47,1303,359,0.276,292.2,233,188,4.5,1032,406,72
169,Emmanuel (GA) (Conference Carolinas),23,29,0,0.442,29,690,190,0.275,341.2,270,222,4.55,1015,419,72
170,Chadron St. (RMAC),22,28,0,0.44,54,1406,387,0.275,299.2,230,196,4.58,1012,434,73
171,Assumption (NE10),21,27,0,0.438,45,1172,322,0.275,357,279,235,4.61,756,364,57
172,Tex. A&M Int'l (Lone Star),24,31,0,0.436,48,1218,334,0.274,303,232,201,4.64,1097,336,73
172,Tex. A&M-Kingsville (Lone Star),24,31,0,0.436,48,1218,334,0.274,303,232,201,4.64,1097,336,73
174,Newberry (SAC),23,30,0,0.434,50,1297,355,0.274,362,276,241,4.66,922,292,62
175,Wayne St. (MI) (GLIAC),24,32,0,0.429,52,1429,390,0.273,297,246,198,4.67,1040,291,68
175,Georgian Court (CACC),18,24,0,0.429,52,1429,390,0.273,297,246,198,4.67,1040,291,68
177,Millersville (PSAC),22,30,0,0.423,46,1224,333,0.272,301.2,270,202,4.69,969,296,65
178,Mo.-St. Louis (GLVC),19,26,0,0.422,54,1379,375,0.272,300.1,253,202,4.71,1033,425,75
179,Christian Brothers (Gulf South),21,29,0,0.42,55,1527,415,0.272,358,298,241,4.71,874,385,65
179,Lynn (Sunshine State),21,29,0,0.42,55,1527,415,0.272,358,298,241,4.71,874,385,65
