Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
240,New Haven (NE10),11,33,0,0.25,42,998,251,0.252,291.2,308,266,6.38,940,380,86
240,Ursuline (G-MAC),10,30,0,0.25,42,998,251,0.252,291.2,308,266,6.38,940,380,86
240,Walsh (G-MAC),10,30,0,0.25,42,998,251,0.252,291.2,308,266,6.38,940,380,86
240,Queens (NY) (ECC),9,27,0,0.25,42,998,251,0.252,291.2,308,266,6.38,940,380,86
240,Shaw (CIAA),7,21,0,0.25,42,998,251,0.252,291.2,308,266,6.38,940,380,86
245,Wheeling (MEC),12,42,0,0.222,57,1492,367,0.246,298,363,282,6.62,518,227,50
246,Academy of Art (PacWest),11,40,0,0.216,50,1270,312,0.246,250.1,286,237,6.63,878,311,80
247,Elizabeth City St. (CIAA),7,26,0,0.212,47,1228,301,0.245,303,370,287,6.63,986,333,90
248,Fort Lewis (RMAC),10,38,0,0.208,43,1021,250,0.245,332,400,315,6.64,759,288,73
249,Union (TN) (Gulf South),10,40,0,0.2,48,1191,291,0.244,160.2,212,154,6.71,764,306,75
249,Mansfield (PSAC),8,32,0,0.2,48,1191,291,0.244,160.2,212,154,6.71,764,306,75
251,Lees-McRae (Conference Carolinas),9,37,0,0.196,40,1035,252,0.243,254.2,318,252,6.93,1002,366,98
252,Virginia Union (CIAA),6,25,0,0.194,28,695,169,0.243,160.1,197,163,7.12,795,305,79
253,Erskine (Conference Carolinas),8,34,0,0.19,36,890,216,0.243,319.1,385,327,7.17,796,291,82
254,Edinboro (PSAC),7,31,0,0.184,48,1187,286,0.241,235.1,289,242,7.2,807,375,90
255,Chaminade (PacWest),9,42,0,0.176,54,1349,325,0.241,257.1,326,266,7.24,825,306,87
256,Clark Atlanta (SIAC),6,29,0,0.171,48,1244,297,0.239,265,348,274,7.24,588,198,61
257,Mary (NSIC),9,44,0,0.17,42,1090,257,0.236,319,394,336,7.37,510,222,58
258,UT Permian Basin (Lone Star),9,45,0,0.167,27,569,134,0.236,308,405,331,7.52,772,215,81
